code,name,lastModified,validFrom,validTo,brand
"FR3317.100.1","Les hameaux de l'Océan","2024-04-18T10:13:57","2025-04-05","2025-11-28","I"
"CH3906.1143.1","Snow-Fun B 25","2024-04-24T16:17:22","2025-04-05","2025-10-25","FER"
"CH3906.1116.1","Topas Nr. 24","2024-04-23T04:37:24","2025-04-05","2025-10-25","FER"
"FR8491.710.1","Mas de l'Adrech","2024-04-29T02:55:58","2025-04-05","2025-11-28","IC"
"FR8486.651.1","Villa Gaïa (LLI130)","2024-04-29T02:55:58","2025-04-05","2025-11-28","IC"
"FR8039.603.2","Le Platane (VLE101)","2024-04-29T02:55:49","2025-04-05","2025-11-28","IC"
"FR8039.603.1","Le Real (VLE100)","2024-04-29T02:55:49","2025-04-05","2025-11-28","IC"
"FR3350.661.1","Le Lac (LCA125)","2024-04-29T02:55:34","2025-04-05","2025-11-28","IC"
"FR3348.606.1","Nola (GEM100)","2024-04-29T02:55:34","2025-04-05","2025-11-28","IC"
"IT8650.653.1","Al Tramonto","2024-04-29T02:58:00","2025-04-05","2025-11-28","IC"
"IT8605.650.1","Wendy","2024-04-29T02:58:00","2025-04-05","2026-11-27","IC"
"IT8400.620.2","Giulia","2024-04-29T02:57:59","2025-04-05","2025-11-28","IC"
"IT8400.620.1","Giulia","2024-04-29T02:57:59","2025-04-05","2025-11-28","IC"
"IT7295.603.1","Goleri (BSD100)","2024-04-29T02:57:59","2025-04-05","2025-11-28","IC"
"IT7165.617.1","Nanai","2024-07-25T14:26:54","2025-04-05","2025-11-28","IC"
"IT7160.649.1","Pino","2024-04-29T02:57:58","2025-04-05","2025-11-28","IC"
"IT7160.614.1","Residenza Mediterranea","2024-04-29T02:57:58","2025-04-05","2025-11-28","IC"
"IT7140.687.1","Mimosa","2024-04-29T02:57:57","2025-04-05","2025-11-28","IC"
"IT7140.664.1","Rita","2024-04-29T02:57:57","2025-04-05","2025-11-28","IC"
"IT7000.630.2","Giuseppe","2024-04-29T02:57:55","2025-04-05","2025-11-28","IC"
"IT7000.630.1","Tonino","2024-04-29T02:57:55","2025-04-05","2025-11-28","IC"
"IT6975.651.1","Villa Tavaglione","2024-04-29T02:57:55","2025-04-05","2026-11-27","IC"
"IT6975.642.1","Villa Teresa","2024-04-29T02:57:55","2025-04-05","2026-11-27","IC"
"IT5801.602.1","Gli Oleandri","2024-04-29T02:57:54","2025-04-05","2025-11-28","IC"
"IT5801.601.1","Casa Le Terrazze","2024-04-29T02:57:54","2025-04-05","2025-11-28","IC"
"IT5670.603.1","Algamarina","2024-04-29T02:57:53","2025-04-05","2025-11-28","IC"
"IT5610.606.1","Casale della Croce","2024-04-29T02:57:53","2025-04-05","2026-11-27","IC"
"IT5606.678.1","Casa Bruna","2024-04-29T02:57:53","2025-04-05","2026-11-27","IC"
"IT5606.677.1","Casa Martina","2024-04-29T02:57:53","2025-04-05","2026-11-27","IC"
